بسم الله الرحمن الرحيم,بسم الله الرحمن الرحيم
وإن كنتم ريب نزلنا عبدنا فأتوا بسورة مثله وادعوا شهداءكم الله كنتم صادقين,وإن كنتم في ريب مما نزلنا على عبدنا فأتوا بسورة من مثله وادعوا شهداءكم من دون الله إن كنتم صادقين
تفعلوا ولن تفعلوا فاتقوا النار وقودها الناس والحجارة أعدت للكافرين,فإن لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجارة أعدت للكافرين
وبشر آمنوا وعملوا الصالحات جنات تجري تحتها الأنهار كلما رزقوا ثمرة رزقا قالوا رزقنا وأتوا متشابها ولهم أزواج مطهرة وهم خالدون,وبشر الذين آمنوا وعملوا الصالحات أن لهم جنات تجري من تحتها الأنهار كلما رزقوا منها من ثمرة رزقا قالوا هذا الذي رزقنا من قبل وأتوا به متشابها ولهم فيها أزواج مطهرة وهم فيها خالدون
الله يستحيي يضرب مثلا بعوضة فما فوقها فأما آمنوا فيعلمون الحق ربهم وأما كفروا فيقولون أراد الله مثلا يضل ويهدي وما يضل إلا الفاسقين,إن الله لا يستحيي أن يضرب مثلا ما بعوضة فما فوقها فأما الذين آمنوا فيعلمون أنه الحق من ربهم وأما الذين كفروا فيقولون ماذا أراد الله بهذا مثلا يضل به كثيرا ويهدي به كثيرا وما يضل به إلا الفاسقين
ينقضون عهد الله ميثاقه ويقطعون أمر الله يوصل ويفسدون الأرض الخاسرون,الذين ينقضون عهد الله من بعد ميثاقه ويقطعون ما أمر الله به أن يوصل ويفسدون في الأرض أولئك هم الخاسرون
تكفرون بالله وكنتم أمواتا فأحياكم يميتكم يحييكم إليه ترجعون,كيف تكفرون بالله وكنتم أمواتا فأحياكم ثم يميتكم ثم يحييكم ثم إليه ترجعون
خلق لكم الأرض جميعا استوى السماء فسواهن سماوات بكل شيء عليم,هو الذي خلق لكم ما في الأرض جميعا ثم استوى إلى السماء فسواهن سبع سماوات وهو بكل شيء عليم
وإذ ربك للملائكة إني جاعل الأرض خليفة قالوا أتجعل يفسد ويسفك الدماء ونحن نسبح بحمدك ونقدس لك إني تعلمون,وإذ قال ربك للملائكة إني جاعل في الأرض خليفة قالوا أتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك قال إني أعلم ما لا تعلمون
وعلم آدم الأسماء كلها عرضهم الملائكة فقال أنبئوني بأسماء كنتم صادقين,وعلم آدم الأسماء كلها ثم عرضهم على الملائكة فقال أنبئوني بأسماء هؤلاء إن كنتم صادقين
قالوا سبحانك لنا إلا علمتنا إنك العليم الحكيم,قالوا سبحانك لا علم لنا إلا ما علمتنا إنك أنت العليم الحكيم
يا آدم أنبئهم بأسمائهم فلما أنبأهم بأسمائهم ألم أقل لكم إني غيب السماوات والأرض وأعلم تبدون وما كنتم تكتمون,قال يا آدم أنبئهم بأسمائهم فلما أنبأهم بأسمائهم قال ألم أقل لكم إني أعلم غيب السماوات والأرض وأعلم ما تبدون وما كنتم تكتمون
وإذ قلنا للملائكة اسجدوا لآدم فسجدوا إلا إبليس أبى واستكبر الكافرين,وإذ قلنا للملائكة اسجدوا لآدم فسجدوا إلا إبليس أبى واستكبر وكان من الكافرين
وقلنا يا آدم اسكن وزوجك الجنة وكلا رغدا شئتما تقربا الشجرة فتكونا الظالمين,وقلنا يا آدم اسكن أنت وزوجك الجنة وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجرة فتكونا من الظالمين
فأزلهما الشيطان فأخرجهما كانا وقلنا اهبطوا بعضكم لبعض عدو ولكم الأرض مستقر ومتاع,فأزلهما الشيطان عنها فأخرجهما مما كانا فيه وقلنا اهبطوا بعضكم لبعض عدو ولكم في الأرض مستقر ومتاع إلى حين
فتلقى آدم ربه كلمات فتاب إنه التواب الرحيم,فتلقى آدم من ربه كلمات فتاب عليه إنه هو التواب الرحيم
قلنا اهبطوا جميعا فإما يأتينكم مني هدى فمن تبع هداي فلا خوف عليهم يحزنون,قلنا اهبطوا منها جميعا فإما يأتينكم مني هدى فمن تبع هداي فلا خوف عليهم ولا هم يحزنون
والذين كفروا وكذبوا بآياتنا أصحاب النار خالدون,والذين كفروا وكذبوا بآياتنا أولئك أصحاب النار هم فيها خالدون
يا بني إسرائيل اذكروا نعمتي أنعمت عليكم وأوفوا بعهدي أوف بعهدكم وإياي فارهبون,يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأوفوا بعهدي أوف بعهدكم وإياي فارهبون
وآمنوا بما أنزلت مصدقا معكم تكونوا كافر تشتروا بآياتي ثمنا قليلا وإياي فاتقون,وآمنوا بما أنزلت مصدقا لما معكم ولا تكونوا أول كافر به ولا تشتروا بآياتي ثمنا قليلا وإياي فاتقون
تلبسوا الحق بالباطل وتكتموا الحق وأنتم تعلمون,ولا تلبسوا الحق بالباطل وتكتموا الحق وأنتم تعلمون
وأقيموا الصلاة وآتوا الزكاة واركعوا الراكعين,وأقيموا الصلاة وآتوا الزكاة واركعوا مع الراكعين
أتأمرون الناس بالبر وتنسون أنفسكم وأنتم تتلون الكتاب أفلا تعقلون,أتأمرون الناس بالبر وتنسون أنفسكم وأنتم تتلون الكتاب أفلا تعقلون
واستعينوا بالصبر والصلاة وإنها لكبيرة إلا الخاشعين,واستعينوا بالصبر والصلاة وإنها لكبيرة إلا على الخاشعين
يظنون أنهم ملاقو ربهم وأنهم إليه راجعون,الذين يظنون أنهم ملاقو ربهم وأنهم إليه راجعون
يا بني إسرائيل اذكروا نعمتي أنعمت عليكم وأني فضلتكم العالمين,يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأني فضلتكم على العالمين
واتقوا يوما تجزي شيئا يقبل شفاعة يؤخذ عدل ينصرون,واتقوا يوما لا تجزي نفس عن نفس شيئا ولا يقبل منها شفاعة ولا يؤخذ منها عدل ولا هم ينصرون
وإذ نجيناكم فرعون يسومونكم سوء العذاب يذبحون أبناءكم ويستحيون نساءكم ذلكم بلاء ربكم عظيم,وإذ نجيناكم من آل فرعون يسومونكم سوء العذاب يذبحون أبناءكم ويستحيون نساءكم وفي ذلكم بلاء من ربكم عظيم
وإذ فرقنا بكم البحر فأنجيناكم وأغرقنا فرعون وأنتم تنظرون,وإذ فرقنا بكم البحر فأنجيناكم وأغرقنا آل فرعون وأنتم تنظرون
وإذ واعدنا موسى أربعين ليلة اتخذتم العجل بعده وأنتم ظالمون,وإذ واعدنا موسى أربعين ليلة ثم اتخذتم العجل من بعده وأنتم ظالمون
عفونا عنكم لعلكم تشكرون,ثم عفونا عنكم من بعد ذلك لعلكم تشكرون
وإذ آتينا موسى الكتاب والفرقان لعلكم تهتدون,وإذ آتينا موسى الكتاب والفرقان لعلكم تهتدون
وإذ موسى لقومه يا قوم إنكم ظلمتم أنفسكم باتخاذكم العجل فتوبوا بارئكم فاقتلوا أنفسكم ذلكم خير لكم بارئكم فتاب عليكم إنه التواب الرحيم,وإذ قال موسى لقومه يا قوم إنكم ظلمتم أنفسكم باتخاذكم العجل فتوبوا إلى بارئكم فاقتلوا أنفسكم ذلكم خير لكم عند بارئكم فتاب عليكم إنه هو التواب الرحيم
وإذ قلتم يا موسى نؤمن لك نرى الله جهرة فأخذتكم الصاعقة وأنتم تنظرون,وإذ قلتم يا موسى لن نؤمن لك حتى نرى الله جهرة فأخذتكم الصاعقة وأنتم تنظرون
بعثناكم موتكم لعلكم تشكرون,ثم بعثناكم من بعد موتكم لعلكم تشكرون
وظللنا عليكم الغمام وأنزلنا عليكم المن والسلوى كلوا طيبات رزقناكم وما ظلمونا كانوا أنفسهم يظلمون,وظللنا عليكم الغمام وأنزلنا عليكم المن والسلوى كلوا من طيبات ما رزقناكم وما ظلمونا ولكن كانوا أنفسهم يظلمون
وإذ قلنا ادخلوا القرية فكلوا شئتم رغدا وادخلوا الباب سجدا وقولوا حطة نغفر لكم خطاياكم وسنزيد المحسنين,وإذ قلنا ادخلوا هذه القرية فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطة نغفر لكم خطاياكم وسنزيد المحسنين
فبدل ظلموا قولا قيل فأنزلنا ظلموا رجزا السماء بما كانوا يفسقون,فبدل الذين ظلموا قولا غير الذي قيل لهم فأنزلنا على الذين ظلموا رجزا من السماء بما كانوا يفسقون
وإذ استسقى موسى لقومه فقلنا اضرب بعصاك الحجر فانفجرت اثنتا عينا أناس مشربهم كلوا واشربوا الله تعثوا الأرض مفسدين,وإذ استسقى موسى لقومه فقلنا اضرب بعصاك الحجر فانفجرت منه اثنتا عشرة عينا قد علم كل أناس مشربهم كلوا واشربوا من رزق الله ولا تعثوا في الأرض مفسدين
وإذ قلتم يا موسى نصبر طعام فادع لنا ربك يخرج لنا تنبت الأرض بقلها وقثائها وفومها وعدسها وبصلها أتستبدلون أدنى بالذي خير اهبطوا مصرا لكم سألتم وضربت عليهم الذلة والمسكنة وباءوا بغضب الله بأنهم كانوا يكفرون بآيات الله ويقتلون النبيين بغير الحق بما عصوا وكانوا يعتدون,وإذ قلتم يا موسى لن نصبر على طعام واحد فادع لنا ربك يخرج لنا مما تنبت الأرض من بقلها وقثائها وفومها وعدسها وبصلها قال أتستبدلون الذي هو أدنى بالذي هو خير اهبطوا مصرا فإن لكم ما سألتم وضربت عليهم الذلة والمسكنة وباءوا بغضب من الله ذلك بأنهم كانوا يكفرون بآيات الله ويقتلون النبيين بغير الحق ذلك بما عصوا وكانوا يعتدون
آمنوا والذين هادوا والنصارى والصابئين آمن بالله واليوم الآخر وعمل صالحا فلهم أجرهم ربهم خوف عليهم يحزنون,إن الذين آمنوا والذين هادوا والنصارى والصابئين من آمن بالله واليوم الآخر وعمل صالحا فلهم أجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون
وإذ أخذنا ميثاقكم ورفعنا فوقكم الطور خذوا آتيناكم بقوة واذكروا لعلكم تتقون,وإذ أخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما آتيناكم بقوة واذكروا ما فيه لعلكم تتقون
توليتم فلولا فضل الله عليكم ورحمته لكنتم الخاسرين,ثم توليتم من بعد ذلك فلولا فضل الله عليكم ورحمته لكنتم من الخاسرين
ولقد علمتم اعتدوا منكم السبت فقلنا كونوا قردة خاسئين,ولقد علمتم الذين اعتدوا منكم في السبت فقلنا لهم كونوا قردة خاسئين
فجعلناها نكالا يديها وما خلفها وموعظة للمتقين,فجعلناها نكالا لما بين يديها وما خلفها وموعظة للمتقين
وإذ موسى لقومه الله يأمركم تذبحوا بقرة قالوا أتتخذنا هزوا أعوذ بالله أكون الجاهلين,وإذ قال موسى لقومه إن الله يأمركم أن تذبحوا بقرة قالوا أتتخذنا هزوا قال أعوذ بالله أن أكون من الجاهلين
قالوا ادع لنا ربك يبين لنا إنه يقول إنها بقرة فارض بكر عوان فافعلوا تؤمرون,قالوا ادع لنا ربك يبين لنا ما هي قال إنه يقول إنها بقرة لا فارض ولا بكر عوان بين ذلك فافعلوا ما تؤمرون
قالوا ادع لنا ربك يبين لنا لونها إنه يقول إنها بقرة صفراء فاقع لونها تسر الناظرين,قالوا ادع لنا ربك يبين لنا ما لونها قال إنه يقول إنها بقرة صفراء فاقع لونها تسر الناظرين
قالوا ادع لنا ربك يبين لنا البقر تشابه علينا وإنا شاء الله لمهتدون,قالوا ادع لنا ربك يبين لنا ما هي إن البقر تشابه علينا وإنا إن شاء الله لمهتدون
إنه يقول إنها بقرة ذلول تثير الأرض تسقي الحرث مسلمة شية قالوا جئت بالحق فذبحوها وما كادوا,قال إنه يقول إنها بقرة لا ذلول تثير الأرض ولا تسقي الحرث مسلمة لا شية فيها قالوا الآن جئت بالحق فذبحوها وما كادوا يفعلون
وإذ قتلتم نفسا فادارأتم والله مخرج كنتم تكتمون,وإذ قتلتم نفسا فادارأتم فيها والله مخرج ما كنتم تكتمون
فقلنا اضربوه ببعضها يحيي الله الموتى ويريكم آياته لعلكم تعقلون,فقلنا اضربوه ببعضها كذلك يحيي الله الموتى ويريكم آياته لعلكم تعقلون
قست قلوبكم فهي كالحجارة أشد قسوة وإن الحجارة يتفجر الأنهار وإن يشقق فيخرج الماء وإن يهبط خشية الله وما الله بغافل عما تعملون,ثم قست قلوبكم من بعد ذلك فهي كالحجارة أو أشد قسوة وإن من الحجارة لما يتفجر منه الأنهار وإن منها لما يشقق فيخرج منه الماء وإن منها لما يهبط من خشية الله وما الله بغافل عما تعملون
أفتطمعون يؤمنوا لكم فريق منهم يسمعون كلام الله يحرفونه عقلوه وهم يعلمون,أفتطمعون أن يؤمنوا لكم وقد كان فريق منهم يسمعون كلام الله ثم يحرفونه من بعد ما عقلوه وهم يعلمون
وإذا لقوا آمنوا قالوا آمنا وإذا بعضهم قالوا أتحدثونهم بما فتح الله عليكم ليحاجوكم ربكم أفلا تعقلون,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلا بعضهم إلى بعض قالوا أتحدثونهم بما فتح الله عليكم ليحاجوكم به عند ربكم أفلا تعقلون
أولا يعلمون الله يعلم يسرون وما يعلنون,أولا يعلمون أن الله يعلم ما يسرون وما يعلنون
ومنهم أميون يعلمون الكتاب إلا أماني وإن إلا يظنون,ومنهم أميون لا يعلمون الكتاب إلا أماني وإن هم إلا يظنون
فويل للذين يكتبون الكتاب بأيديهم يقولون الله ليشتروا ثمنا قليلا فويل كتبت أيديهم وويل يكسبون,فويل للذين يكتبون الكتاب بأيديهم ثم يقولون هذا من عند الله ليشتروا به ثمنا قليلا فويل لهم مما كتبت أيديهم وويل لهم مما يكسبون
وقالوا تمسنا النار إلا أياما معدودة قل أتخذتم الله عهدا فلن يخلف الله عهده تقولون الله تعلمون,وقالوا لن تمسنا النار إلا أياما معدودة قل أتخذتم عند الله عهدا فلن يخلف الله عهده أم تقولون على الله ما لا تعلمون
كسب سيئة وأحاطت خطيئته فأولئك أصحاب النار خالدون,بلى من كسب سيئة وأحاطت به خطيئته فأولئك أصحاب النار هم فيها خالدون
والذين آمنوا وعملوا الصالحات أصحاب الجنة خالدون,والذين آمنوا وعملوا الصالحات أولئك أصحاب الجنة هم فيها خالدون
وإذ أخذنا ميثاق بني إسرائيل تعبدون إلا الله وبالوالدين إحسانا وذي القربى واليتامى والمساكين وقولوا للناس حسنا وأقيموا الصلاة وآتوا الزكاة توليتم إلا قليلا منكم وأنتم معرضون,وإذ أخذنا ميثاق بني إسرائيل لا تعبدون إلا الله وبالوالدين إحسانا وذي القربى واليتامى والمساكين وقولوا للناس حسنا وأقيموا الصلاة وآتوا الزكاة ثم توليتم إلا قليلا منكم وأنتم معرضون
وإذ أخذنا ميثاقكم تسفكون دماءكم تخرجون أنفسكم دياركم أقررتم وأنتم تشهدون,وإذ أخذنا ميثاقكم لا تسفكون دماءكم ولا تخرجون أنفسكم من دياركم ثم أقررتم وأنتم تشهدون
تقتلون أنفسكم وتخرجون فريقا منكم ديارهم تظاهرون عليهم بالإثم والعدوان وإن يأتوكم أسارى تفادوهم محرم عليكم إخراجهم أفتؤمنون ببعض الكتاب وتكفرون ببعض فما جزاء يفعل منكم إلا خزي الحياة الدنيا ويوم القيامة يردون أشد العذاب وما الله بغافل عما تعملون,ثم أنتم هؤلاء تقتلون أنفسكم وتخرجون فريقا منكم من ديارهم تظاهرون عليهم بالإثم والعدوان وإن يأتوكم أسارى تفادوهم وهو محرم عليكم إخراجهم أفتؤمنون ببعض الكتاب وتكفرون ببعض فما جزاء من يفعل ذلك منكم إلا خزي في الحياة الدنيا ويوم القيامة يردون إلى أشد العذاب وما الله بغافل عما تعملون
اشتروا الحياة الدنيا بالآخرة فلا يخفف عنهم العذاب ينصرون,أولئك الذين اشتروا الحياة الدنيا بالآخرة فلا يخفف عنهم العذاب ولا هم ينصرون
ولقد آتينا موسى الكتاب وقفينا بعده بالرسل وآتينا عيسى ابن مريم البينات وأيدناه بروح القدس أفكلما جاءكم رسول بما تهوى أنفسكم استكبرتم ففريقا كذبتم وفريقا تقتلون,ولقد آتينا موسى الكتاب وقفينا من بعده بالرسل وآتينا عيسى ابن مريم البينات وأيدناه بروح القدس أفكلما جاءكم رسول بما لا تهوى أنفسكم استكبرتم ففريقا كذبتم وفريقا تقتلون
وقالوا قلوبنا غلف لعنهم الله بكفرهم فقليلا يؤمنون,وقالوا قلوبنا غلف بل لعنهم الله بكفرهم فقليلا ما يؤمنون
ولما جاءهم كتاب الله مصدق معهم وكانوا يستفتحون كفروا فلما جاءهم عرفوا كفروا فلعنة الله الكافرين,ولما جاءهم كتاب من عند الله مصدق لما معهم وكانوا من قبل يستفتحون على الذين كفروا فلما جاءهم ما عرفوا كفروا به فلعنة الله على الكافرين
بئسما اشتروا أنفسهم يكفروا بما أنزل الله بغيا ينزل الله فضله يشاء عباده فباءوا بغضب غضب وللكافرين عذاب مهين,بئسما اشتروا به أنفسهم أن يكفروا بما أنزل الله بغيا أن ينزل الله من فضله على من يشاء من عباده فباءوا بغضب على غضب وللكافرين عذاب مهين
وإذا قيل آمنوا بما أنزل الله قالوا نؤمن بما أنزل علينا ويكفرون بما وراءه الحق مصدقا معهم قل فلم تقتلون أنبياء الله كنتم مؤمنين,وإذا قيل لهم آمنوا بما أنزل الله قالوا نؤمن بما أنزل علينا ويكفرون بما وراءه وهو الحق مصدقا لما معهم قل فلم تقتلون أنبياء الله من قبل إن كنتم مؤمنين
ولقد جاءكم موسى بالبينات اتخذتم العجل بعده وأنتم ظالمون,ولقد جاءكم موسى بالبينات ثم اتخذتم العجل من بعده وأنتم ظالمون
وإذ أخذنا ميثاقكم ورفعنا فوقكم الطور خذوا آتيناكم بقوة واسمعوا قالوا سمعنا وعصينا وأشربوا قلوبهم العجل بكفرهم قل بئسما يأمركم إيمانكم كنتم مؤمنين,وإذ أخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما آتيناكم بقوة واسمعوا قالوا سمعنا وعصينا وأشربوا في قلوبهم العجل بكفرهم قل بئسما يأمركم به إيمانكم إن كنتم مؤمنين
قل لكم الدار الآخرة الله خالصة الناس فتمنوا الموت كنتم صادقين,قل إن كانت لكم الدار الآخرة عند الله خالصة من دون الناس فتمنوا الموت إن كنتم صادقين
ولن يتمنوه بما قدمت أيديهم والله عليم بالظالمين,ولن يتمنوه أبدا بما قدمت أيديهم والله عليم بالظالمين
ولتجدنهم أحرص الناس حياة أشركوا يود أحدهم يعمر وما بمزحزحه العذاب يعمر والله بصير بما يعملون,ولتجدنهم أحرص الناس على حياة ومن الذين أشركوا يود أحدهم لو يعمر ألف سنة وما هو بمزحزحه من العذاب أن يعمر والله بصير بما يعملون
قل عدوا لجبريل فإنه نزله قلبك بإذن الله مصدقا يديه وهدى وبشرى للمؤمنين,قل من كان عدوا لجبريل فإنه نزله على قلبك بإذن الله مصدقا لما بين يديه وهدى وبشرى للمؤمنين
عدوا لله وملائكته ورسله وجبريل وميكال الله عدو للكافرين,من كان عدوا لله وملائكته ورسله وجبريل وميكال فإن الله عدو للكافرين
ولقد أنزلنا إليك آيات بينات وما يكفر إلا الفاسقون,ولقد أنزلنا إليك آيات بينات وما يكفر بها إلا الفاسقون
أوكلما عاهدوا عهدا نبذه فريق منهم أكثرهم يؤمنون,أوكلما عاهدوا عهدا نبذه فريق منهم بل أكثرهم لا يؤمنون
ولما جاءهم رسول الله مصدق معهم نبذ فريق أوتوا الكتاب كتاب الله وراء ظهورهم كأنهم يعلمون,ولما جاءهم رسول من عند الله مصدق لما معهم نبذ فريق من الذين أوتوا الكتاب كتاب الله وراء ظهورهم كأنهم لا يعلمون
واتبعوا تتلو الشياطين ملك سليمان وما كفر سليمان الشياطين كفروا يعلمون الناس السحر وما أنزل الملكين ببابل هاروت وماروت وما يعلمان يقولا إنما فتنة فلا تكفر فيتعلمون منهما يفرقون المرء وزوجه وما بضارين إلا بإذن الله ويتعلمون يضرهم ينفعهم ولقد علموا لمن اشتراه الآخرة خلاق ولبئس شروا أنفسهم كانوا يعلمون,واتبعوا ما تتلو الشياطين على ملك سليمان وما كفر سليمان ولكن الشياطين كفروا يعلمون الناس السحر وما أنزل على الملكين ببابل هاروت وماروت وما يعلمان من أحد حتى يقولا إنما نحن فتنة فلا تكفر فيتعلمون منهما ما يفرقون به بين المرء وزوجه وما هم بضارين به من أحد إلا بإذن الله ويتعلمون ما يضرهم ولا ينفعهم ولقد علموا لمن اشتراه ما له في الآخرة من خلاق ولبئس ما شروا به أنفسهم لو كانوا يعلمون
ولو أنهم آمنوا واتقوا لمثوبة الله خير كانوا يعلمون,ولو أنهم آمنوا واتقوا لمثوبة من عند الله خير لو كانوا يعلمون
يا أيها آمنوا تقولوا راعنا وقولوا انظرنا واسمعوا وللكافرين عذاب أليم,يا أيها الذين آمنوا لا تقولوا راعنا وقولوا انظرنا واسمعوا وللكافرين عذاب أليم
يود كفروا أهل الكتاب المشركين ينزل عليكم خير ربكم والله يختص برحمته يشاء والله الفضل العظيم,ما يود الذين كفروا من أهل الكتاب ولا المشركين أن ينزل عليكم من خير من ربكم والله يختص برحمته من يشاء والله ذو الفضل العظيم
ننسخ آية ننسها نأت بخير مثلها ألم تعلم الله شيء قدير,ما ننسخ من آية أو ننسها نأت بخير منها أو مثلها ألم تعلم أن الله على كل شيء قدير
ألم تعلم الله ملك السماوات والأرض وما لكم الله ولي نصير,ألم تعلم أن الله له ملك السماوات والأرض وما لكم من دون الله من ولي ولا نصير
تريدون تسألوا رسولكم سئل موسى يتبدل الكفر بالإيمان ضل سواء السبيل,أم تريدون أن تسألوا رسولكم كما سئل موسى من قبل ومن يتبدل الكفر بالإيمان فقد ضل سواء السبيل
ود كثير أهل الكتاب يردونكم إيمانكم كفارا حسدا أنفسهم تبين الحق فاعفوا واصفحوا يأتي الله بأمره الله شيء قدير,ود كثير من أهل الكتاب لو يردونكم من بعد إيمانكم كفارا حسدا من عند أنفسهم من بعد ما تبين لهم الحق فاعفوا واصفحوا حتى يأتي الله بأمره إن الله على كل شيء قدير
وأقيموا الصلاة وآتوا الزكاة وما تقدموا لأنفسكم خير تجدوه الله الله بما تعملون بصير,وأقيموا الصلاة وآتوا الزكاة وما تقدموا لأنفسكم من خير تجدوه عند الله إن الله بما تعملون بصير
وقالوا يدخل الجنة إلا هودا نصارى أمانيهم قل هاتوا برهانكم كنتم صادقين,وقالوا لن يدخل الجنة إلا من كان هودا أو نصارى تلك أمانيهم قل هاتوا برهانكم إن كنتم صادقين
أسلم وجهه لله محسن فله أجره ربه خوف عليهم يحزنون,بلى من أسلم وجهه لله وهو محسن فله أجره عند ربه ولا خوف عليهم ولا هم يحزنون
اليهود ليست النصارى شيء النصارى ليست اليهود شيء وهم يتلون الكتاب يعلمون قولهم فالله يحكم بينهم القيامة فيما كانوا يختلفون,وقالت اليهود ليست النصارى على شيء وقالت النصارى ليست اليهود على شيء وهم يتلون الكتاب كذلك قال الذين لا يعلمون مثل قولهم فالله يحكم بينهم يوم القيامة فيما كانوا فيه يختلفون
أظلم ممن منع مساجد الله يذكر اسمه وسعى خرابها يدخلوها إلا خائفين الدنيا خزي ولهم الآخرة عذاب عظيم,ومن أظلم ممن منع مساجد الله أن يذكر فيها اسمه وسعى في خرابها أولئك ما كان لهم أن يدخلوها إلا خائفين لهم في الدنيا خزي ولهم في الآخرة عذاب عظيم
ولله المشرق والمغرب فأينما تولوا فثم وجه الله الله واسع عليم,ولله المشرق والمغرب فأينما تولوا فثم وجه الله إن الله واسع عليم
وقالوا الله ولدا سبحانه السماوات والأرض قانتون,وقالوا اتخذ الله ولدا سبحانه بل له ما في السماوات والأرض كل له قانتون
بديع السماوات والأرض وإذا قضى أمرا فإنما يقول فيكون,بديع السماوات والأرض وإذا قضى أمرا فإنما يقول له كن فيكون
